produto_id,media_score_risco,media_defeitos,percentual_os_altas,risco_produto,total_os_log
414170,2.6741486494265287,1.0,0.0,0,0.6931471805599453
621557,2.4849066497880004,1.0,0.0,0,0.6931471805599453
414824,2.5257286443082556,1.0,0.0,0,0.6931471805599453
414129,2.1400661634962708,1.0,0.0,0,0.6931471805599453
1729772,2.5257286443082556,1.0,0.0,0,0.6931471805599453
1732545,2.5649493574615367,1.0,0.0,0,0.6931471805599453
413710,2.1400661634962708,1.0,0.0,0,0.6931471805599453
414127,2.740840023925201,1.0,0.0,0,0.6931471805599453
1754221,2.1400661634962708,1.0,0.0,0,0.6931471805599453
590571,2.995732273553991,1.0,0.0,1,0.6931471805599453
1764231,2.740840023925201,1.0,0.0,0,0.6931471805599453
414567,2.803360380906535,1.0,0.0,0,0.6931471805599453
414412,2.803360380906535,1.0,0.0,0,0.6931471805599453
414869,2.803360380906535,1.0,0.0,0,0.6931471805599453
1752249,2.1400661634962708,1.0,0.0,0,0.6931471805599453
975834,2.1400661634962708,1.0,0.0,0,0.6931471805599453
680671,2.5257286443082556,1.0,0.0,0,0.6931471805599453
414106,2.1972245773362196,1.0,0.0,0,0.6931471805599453
415091,2.1400661634962708,1.0,0.0,0,0.6931471805599453
413719,2.803360380906535,1.0,0.0,0,0.6931471805599453
414832,2.0794415416798357,1.0,0.0,0,0.6931471805599453
414516,2.0794415416798357,1.0,0.0,0,0.6931471805599453
414801,2.0794415416798357,1.0,0.0,0,0.6931471805599453
414182,2.1972245773362196,1.0,0.0,0,0.6931471805599453
414970,2.1972245773362196,1.0,0.0,0,0.6931471805599453
590570,2.1400661634962708,1.0,0.0,0,0.6931471805599453
414945,2.4849066497880004,1.0,0.0,0,0.6931471805599453
720529,2.1400661634962708,1.0,0.0,0,0.6931471805599453
414795,2.740840023925201,1.0,0.0,0,0.6931471805599453
588592,2.5257286443082556,1.0,0.0,0,0.6931471805599453
414329,2.1400661634962708,1.0,0.0,0,0.6931471805599453
615159,2.5257286443082556,1.0,0.0,0,0.6931471805599453
414573,2.1400661634962708,1.0,0.0,0,0.6931471805599453
1754303,2.1400661634962708,1.0,0.0,0,0.6931471805599453
414463,2.1400661634962708,1.0,0.0,0,0.6931471805599453
414822,2.5257286443082556,1.0,0.0,0,0.6931471805599453
413954,2.995732273553991,1.0,0.0,1,0.6931471805599453
1729766,2.740840023925201,1.0,0.0,0,0.6931471805599453
643131,3.0204248861443626,1.0,0.0,1,0.6931471805599453
669302,2.995732273553991,1.0,0.0,1,0.6931471805599453
414693,2.4423470353692043,1.0,0.0,0,0.6931471805599453
1725507,3.2188758248682006,1.0,0.0,1,0.6931471805599453
590573,2.6026896854443837,1.0,0.0,0,0.6931471805599453
678009,2.803360380906535,1.0,0.0,0,0.6931471805599453
615202,2.0794415416798357,1.0,0.0,0,0.6931471805599453
413913,2.4849066497880004,1.0,0.0,0,0.6931471805599453
1910763,2.1400661634962708,1.0,0.0,0,0.6931471805599453
1891321,2.1400661634962708,1.0,0.0,0,0.6931471805599453
683712,2.0794415416798357,1.0,0.0,0,0.6931471805599453
664792,2.4849066497880004,1.0,0.0,0,0.6931471805599453
649802,2.5257286443082556,1.0,0.0,0,0.6931471805599453
1953978,2.4849066497880004,1.0,0.0,0,0.6931471805599453
1953990,2.772588722239781,1.0,0.0,0,0.6931471805599453
414839,2.1400661634962708,1.0,0.0,0,0.6931471805599453
1965430,2.5257286443082556,1.0,0.0,0,0.6931471805599453
413848,2.0794415416798357,1.0,0.0,0,0.6931471805599453
413951,2.740840023925201,1.0,0.0,0,0.6931471805599453
413817,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1725373,2.5649493574615367,1.0,0.0,0,0.6931471805599453
811814,2.0794415416798357,1.0,0.0,0,0.6931471805599453
413846,2.0794415416798357,1.0,0.0,0,0.6931471805599453
809637,2.1400661634962708,1.0,0.0,0,0.6931471805599453
720860,2.1400661634962708,1.0,0.0,0,0.6931471805599453
413683,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1935072,2.1400661634962708,1.0,0.0,0,0.6931471805599453
414362,2.1400661634962708,1.0,0.0,0,0.6931471805599453
1756534,2.0794415416798357,1.0,0.0,0,0.6931471805599453
728978,2.1400661634962708,1.0,0.0,0,0.6931471805599453
415071,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1958910,2.0794415416798357,1.0,0.0,0,0.6931471805599453
720866,2.4423470353692043,1.0,0.0,0,0.6931471805599453
1959005,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1959034,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1959016,2.1400661634962708,1.0,0.0,0,0.6931471805599453
1959000,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1958997,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1756546,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1963160,2.4423470353692043,1.0,0.0,0,0.6931471805599453
1725395,2.0794415416798357,1.0,0.0,0,0.6931471805599453
611025,2.5649493574615367,1.0,0.0,0,0.6931471805599453
414209,2.1400661634962708,1.0,0.0,0,0.6931471805599453
415109,2.1400661634962708,1.0,0.0,0,0.6931471805599453
414703,2.4423470353692043,1.0,0.0,0,0.6931471805599453
1725409,2.4423470353692043,1.0,0.0,0,0.6931471805599453
2085423,2.5257286443082556,1.0,0.0,0,0.6931471805599453
414156,2.1972245773362196,1.0,0.0,0,0.6931471805599453
414472,2.1400661634962708,1.0,0.0,0,0.6931471805599453
1922522,2.0794415416798357,1.0,0.0,0,0.6931471805599453
1935604,2.0794415416798357,1.0,0.0,0,0.6931471805599453
415079,2.1400661634962708,1.0,0.0,0,0.6931471805599453
1958916,2.0794415416798357,1.0,0.0,0,0.6931471805599453
2094733,2.639057329615259,1.0,0.0,0,0.6931471805599453
1725466,2.8903717578961645,1.0,0.0,0,0.6931471805599453
414562,2.0794415416798357,1.0,0.0,0,0.6931471805599453
415191,2.1400661634962708,1.0,0.0,0,0.6931471805599453
414809,2.917770732084279,1.0,0.0,0,0.6931471805599453
